name,bus0,bus1,s_nom,r,x,type,type_info
Transformer_lv_load_area_166949_1,Busbar_mvgd_1864_MV,BusBar_lac_166949,1.0,0.0105,0.059074106002545645,,1.0 MVA 20/0.4 kV
Transformer_lv_load_area_166949_2,Busbar_mvgd_1864_MV,BusBar_lac_166949,1.0,0.0105,0.059074106002545645,,1.0 MVA 20/0.4 kV
Transformer_lv_load_area_166949_3,Busbar_mvgd_1864_MV,BusBar_lac_166949,1.0,0.0105,0.059074106002545645,,1.0 MVA 20/0.4 kV
Transformer_lv_load_area_166949_4,Busbar_mvgd_1864_MV,BusBar_lac_166949,1.0,0.0105,0.059074106002545645,,1.0 MVA 20/0.4 kV
Transformer_lv_load_area_166949_5,Busbar_mvgd_1864_MV,BusBar_lac_166949,1.0,0.0105,0.059074106002545645,,1.0 MVA 20/0.4 kV
Transformer_lv_load_area_166949_6,Busbar_mvgd_1864_MV,BusBar_lac_166949,1.0,0.0105,0.059074106002545645,,1.0 MVA 20/0.4 kV
Transformer_lv_load_area_166949_7,Busbar_mvgd_1864_MV,BusBar_lac_166949,1.0,0.0105,0.059074106002545645,,1.0 MVA 20/0.4 kV
Transformer_lv_load_area_166949_8,Busbar_mvgd_1864_MV,BusBar_lac_166949,1.0,0.0105,0.059074106002545645,,1.0 MVA 20/0.4 kV
Transformer_lv_load_area_166949_9,Busbar_mvgd_1864_MV,BusBar_lac_166949,1.0,0.0105,0.059074106002545645,,1.0 MVA 20/0.4 kV
Transformer_lv_grid_249743_1,BusBar_mvgd_1864_lvgd_249743_MV,BusBar_mvgd_1864_lvgd_249743_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_249797_1,BusBar_mvgd_1864_lvgd_249797_MV,BusBar_mvgd_1864_lvgd_249797_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_511848_1,BusBar_mvgd_1864_lvgd_511848_MV,BusBar_mvgd_1864_lvgd_511848_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_434174_1,BusBar_mvgd_1864_lvgd_434174_MV,BusBar_mvgd_1864_lvgd_434174_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_435942_1,BusBar_mvgd_1864_lvgd_435942_MV,BusBar_mvgd_1864_lvgd_435942_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_250028_1,BusBar_mvgd_1864_lvgd_250028_MV,BusBar_mvgd_1864_lvgd_250028_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_250029_1,BusBar_mvgd_1864_lvgd_250029_MV,BusBar_mvgd_1864_lvgd_250029_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_250032_1,BusBar_mvgd_1864_lvgd_250032_MV,BusBar_mvgd_1864_lvgd_250032_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_250091_1,BusBar_mvgd_1864_lvgd_250091_MV,BusBar_mvgd_1864_lvgd_250091_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_250102_1,BusBar_mvgd_1864_lvgd_250102_MV,BusBar_mvgd_1864_lvgd_250102_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_250103_1,BusBar_mvgd_1864_lvgd_250103_MV,BusBar_mvgd_1864_lvgd_250103_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_250104_1,BusBar_mvgd_1864_lvgd_250104_MV,BusBar_mvgd_1864_lvgd_250104_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_250105_1,BusBar_mvgd_1864_lvgd_250105_MV,BusBar_mvgd_1864_lvgd_250105_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_250106_1,BusBar_mvgd_1864_lvgd_250106_MV,BusBar_mvgd_1864_lvgd_250106_LV,0.16,0.0146875,0.037205877811845804,,0.16 MVA 20/0.4 kV
Transformer_lv_grid_250107_1,BusBar_mvgd_1864_lvgd_250107_MV,BusBar_mvgd_1864_lvgd_250107_LV,0.16,0.0146875,0.037205877811845804,,0.16 MVA 20/0.4 kV
Transformer_lv_grid_250108_1,BusBar_mvgd_1864_lvgd_250108_MV,BusBar_mvgd_1864_lvgd_250108_LV,0.16,0.0146875,0.037205877811845804,,0.16 MVA 20/0.4 kV
Transformer_lv_grid_250109_1,BusBar_mvgd_1864_lvgd_250109_MV,BusBar_mvgd_1864_lvgd_250109_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_250110_1,BusBar_mvgd_1864_lvgd_250110_MV,BusBar_mvgd_1864_lvgd_250110_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
