name,bus0,bus1,s_nom,r,x,type,type_info
Transformer_lv_load_area_193156_1,Busbar_mvgd_2279_MV,BusBar_lac_193156,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_193156_2,Busbar_mvgd_2279_MV,BusBar_lac_193156,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_193156_3,Busbar_mvgd_2279_MV,BusBar_lac_193156,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_193156_4,Busbar_mvgd_2279_MV,BusBar_lac_193156,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_193156_5,Busbar_mvgd_2279_MV,BusBar_lac_193156,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_193156_6,Busbar_mvgd_2279_MV,BusBar_lac_193156,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_193156_7,Busbar_mvgd_2279_MV,BusBar_lac_193156,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_193156_8,Busbar_mvgd_2279_MV,BusBar_lac_193156,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_193156_9,Busbar_mvgd_2279_MV,BusBar_lac_193156,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_193156_10,Busbar_mvgd_2279_MV,BusBar_lac_193156,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_193156_11,Busbar_mvgd_2279_MV,BusBar_lac_193156,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_grid_474010_1,BusBar_mvgd_2279_lvgd_474010_MV,BusBar_mvgd_2279_lvgd_474010_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_473888_1,BusBar_mvgd_2279_lvgd_473888_MV,BusBar_mvgd_2279_lvgd_473888_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_314324_1,BusBar_mvgd_2279_lvgd_314324_MV,BusBar_mvgd_2279_lvgd_314324_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_473756_1,BusBar_mvgd_2279_lvgd_473756_MV,BusBar_mvgd_2279_lvgd_473756_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_315181_1,BusBar_mvgd_2279_lvgd_315181_MV,BusBar_mvgd_2279_lvgd_315181_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_315182_1,BusBar_mvgd_2279_lvgd_315182_MV,BusBar_mvgd_2279_lvgd_315182_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_315183_1,BusBar_mvgd_2279_lvgd_315183_MV,BusBar_mvgd_2279_lvgd_315183_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_315184_1,BusBar_mvgd_2279_lvgd_315184_MV,BusBar_mvgd_2279_lvgd_315184_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_315185_1,BusBar_mvgd_2279_lvgd_315185_MV,BusBar_mvgd_2279_lvgd_315185_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_315322_1,BusBar_mvgd_2279_lvgd_315322_MV,BusBar_mvgd_2279_lvgd_315322_LV,0.16,0.0146875,0.037205877811845804,,0.16 MVA 10/0.4 kV
Transformer_lv_grid_315323_1,BusBar_mvgd_2279_lvgd_315323_MV,BusBar_mvgd_2279_lvgd_315323_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_315324_1,BusBar_mvgd_2279_lvgd_315324_MV,BusBar_mvgd_2279_lvgd_315324_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_315556_1,BusBar_mvgd_2279_lvgd_315556_MV,BusBar_mvgd_2279_lvgd_315556_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_315557_1,BusBar_mvgd_2279_lvgd_315557_MV,BusBar_mvgd_2279_lvgd_315557_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_315558_1,BusBar_mvgd_2279_lvgd_315558_MV,BusBar_mvgd_2279_lvgd_315558_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_315559_1,BusBar_mvgd_2279_lvgd_315559_MV,BusBar_mvgd_2279_lvgd_315559_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_315560_1,BusBar_mvgd_2279_lvgd_315560_MV,BusBar_mvgd_2279_lvgd_315560_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_315561_1,BusBar_mvgd_2279_lvgd_315561_MV,BusBar_mvgd_2279_lvgd_315561_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_315667_1,BusBar_mvgd_2279_lvgd_315667_MV,BusBar_mvgd_2279_lvgd_315667_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_315668_1,BusBar_mvgd_2279_lvgd_315668_MV,BusBar_mvgd_2279_lvgd_315668_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_315669_1,BusBar_mvgd_2279_lvgd_315669_MV,BusBar_mvgd_2279_lvgd_315669_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_315670_1,BusBar_mvgd_2279_lvgd_315670_MV,BusBar_mvgd_2279_lvgd_315670_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_512285_1,BusBar_mvgd_2279_lvgd_512285_MV,BusBar_mvgd_2279_lvgd_512285_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_472419_1,BusBar_mvgd_2279_lvgd_472419_MV,BusBar_mvgd_2279_lvgd_472419_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_315715_1,BusBar_mvgd_2279_lvgd_315715_MV,BusBar_mvgd_2279_lvgd_315715_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_315716_1,BusBar_mvgd_2279_lvgd_315716_MV,BusBar_mvgd_2279_lvgd_315716_LV,0.4,0.0115,0.03831122550898105,,0.4 MVA 10/0.4 kV
Transformer_lv_grid_315771_1,BusBar_mvgd_2279_lvgd_315771_MV,BusBar_mvgd_2279_lvgd_315771_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_315772_1,BusBar_mvgd_2279_lvgd_315772_MV,BusBar_mvgd_2279_lvgd_315772_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_473516_1,BusBar_mvgd_2279_lvgd_473516_MV,BusBar_mvgd_2279_lvgd_473516_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_315902_1,BusBar_mvgd_2279_lvgd_315902_MV,BusBar_mvgd_2279_lvgd_315902_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_474106_1,BusBar_mvgd_2279_lvgd_474106_MV,BusBar_mvgd_2279_lvgd_474106_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
