name,bus0,bus1,length,r,x,s_nom,num_parallel,kind,type_info
Branch_LVStation_mvgd_1003_lvgd_114468_MVCableDist_mvgd_1003_12,BusBar_mvgd_1003_lvgd_114468_MV,BranchTee_mvgd_1003_12,0.20667141682673631,0.033894112359584755,0.024672541382775016,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_114468_MVCableDist_mvgd_1003_2,BusBar_mvgd_1003_lvgd_114468_MV,BranchTee_mvgd_1003_2,4.312742078122516,0.7072897008120926,0.5148573955193764,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_442871_MVCableDist_mvgd_1003_10,BusBar_mvgd_1003_lvgd_442871_MV,BranchTee_mvgd_1003_10,0.001,0.000164,0.00011938052083641215,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_443159_MVCableDist_mvgd_1003_3,BusBar_mvgd_1003_lvgd_443159_MV,BranchTee_mvgd_1003_3,4.51505872690974,0.7404696312131974,0.5390100624254728,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_443321_LVStation_mvgd_1003_lvgd_78649,BusBar_mvgd_1003_lvgd_443321_MV,BusBar_mvgd_1003_lvgd_78649_MV,0.897983676954287,0.14726932302050308,0.10720175905739926,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_443321_LVStation_mvgd_1003_lvgd_87693,BusBar_mvgd_1003_lvgd_87693_MV,BusBar_mvgd_1003_lvgd_443321_MV,1.869029002641965,0.30652075643328225,0.2231256557937577,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_443321_MVStation_mvgd_1003,Busbar_mvgd_1003_MV,BusBar_mvgd_1003_lvgd_443321_MV,1.7198117208116592,0.2820491222131121,0.20531201897106213,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_443426_MVCableDist_mvgd_1003_6,BusBar_mvgd_1003_lvgd_443426_MV,BranchTee_mvgd_1003_6,2.2586335324352977,0.37041589931938884,0.26963684748071126,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_443426_MVStation_mvgd_1003,Busbar_mvgd_1003_MV,BusBar_mvgd_1003_lvgd_443426_MV,1.3171995596037116,0.21602072777500872,0.1572479694709838,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_485583_MVCableDist_mvgd_1003_8,BusBar_mvgd_1003_lvgd_485583_MV,BranchTee_mvgd_1003_8,0.6311967673172408,0.1035162698400275,0.07535259883259186,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_485584_MVCableDist_mvgd_1003_9,BusBar_mvgd_1003_lvgd_485584_MV,BranchTee_mvgd_1003_9,0.7896093784228676,0.1294959380613503,0.0942639788534376,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_494176_MVCableDist_mvgd_1003_12,BusBar_mvgd_1003_lvgd_494176_MV,BranchTee_mvgd_1003_12,0.5564637883105695,0.0912600612829334,0.06643093687511879,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_506583_MVCableDist_mvgd_1003_6,BusBar_mvgd_1003_lvgd_506583_MV,BranchTee_mvgd_1003_6,0.5814129571823919,0.09535172497791228,0.06940938164947255,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_74746_LVStation_mvgd_1003_lvgd_74747,BusBar_mvgd_1003_lvgd_74746_MV,BusBar_mvgd_1003_lvgd_74747_MV,0.46809173898360046,0.07676704519331048,0.05588103559908411,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_74746_LVStation_mvgd_1003_lvgd_74749,BusBar_mvgd_1003_lvgd_74749_MV,BusBar_mvgd_1003_lvgd_74746_MV,0.46790819803922445,0.07673694447843281,0.0558591243855497,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_74747_LVStation_mvgd_1003_lvgd_74750,BusBar_mvgd_1003_lvgd_74750_MV,BusBar_mvgd_1003_lvgd_74747_MV,0.46790847386180456,0.07673698971333595,0.05585915731339297,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_74748_LVStation_mvgd_1003_lvgd_74749,BusBar_mvgd_1003_lvgd_74749_MV,BusBar_mvgd_1003_lvgd_74748_MV,0.4680919330469724,0.07676707701970348,0.05588105876647053,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_74749_LVStation_mvgd_1003_lvgd_74752,BusBar_mvgd_1003_lvgd_74749_MV,BusBar_mvgd_1003_lvgd_74752_MV,0.4679082804323846,0.07673695799091107,0.05585913422168807,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_74750_MVCableDist_mvgd_1003_4,BusBar_mvgd_1003_lvgd_74750_MV,BranchTee_mvgd_1003_4,0.05837033993354691,0.009572735749101693,0.006968281582665257,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_74751_LVStation_mvgd_1003_lvgd_74754,BusBar_mvgd_1003_lvgd_74754_MV,BusBar_mvgd_1003_lvgd_74751_MV,0.46790883170353803,0.07673704839938024,0.05585920003272549,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_74751_LVStation_mvgd_1003_lvgd_75564,BusBar_mvgd_1003_lvgd_75564_MV,BusBar_mvgd_1003_lvgd_74751_MV,1.4752212473840576,0.24193628457098545,0.1761126808616504,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_74753_LVStation_mvgd_1003_lvgd_74754,BusBar_mvgd_1003_lvgd_74753_MV,BusBar_mvgd_1003_lvgd_74754_MV,0.4680912986327177,0.07676697297576571,0.05588098302976638,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_74753_MVCableDist_mvgd_1003_5,virtual_BusBar_mvgd_1003_lvgd_74753_MV,BranchTee_mvgd_1003_5,0.3538402730382411,0.05802980477827155,0.042241636088203506,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_74754_LVStation_mvgd_1003_lvgd_74755,BusBar_mvgd_1003_lvgd_74755_MV,BusBar_mvgd_1003_lvgd_74754_MV,0.4679089144677463,0.0767370619727104,0.05585920991315978,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_75564_MVCableDist_mvgd_1003_7,BusBar_mvgd_1003_lvgd_75564_MV,BranchTee_mvgd_1003_7,0.45644054012386204,0.07485624858031338,0.054490109410839926,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_75565_MVCableDist_mvgd_1003_6,BusBar_mvgd_1003_lvgd_75565_MV,BranchTee_mvgd_1003_6,0.3298131384983634,0.0540893547137316,0.03937326425262636,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_75565_MVCableDist_mvgd_1003_7,BusBar_mvgd_1003_lvgd_75565_MV,BranchTee_mvgd_1003_7,0.1604994195237125,0.02632190480188885,0.019160504296682614,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_75566_MVCableDist_mvgd_1003_7,BusBar_mvgd_1003_lvgd_75566_MV,BranchTee_mvgd_1003_7,0.3146400185433248,0.05160096304110527,0.03756188928968049,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
Branch_LVStation_mvgd_1003_lvgd_77216_MVCableDist_mvgd_1003_5,BusBar_mvgd_1003_lvgd_77216_MV,BranchTee_mvgd_1003_5,2.3046455496371547,0.3779618701404934,0.2751297860590029,6.1834213830208915,1,cable,NA2XS2Y 3x1x185 RM/25
