name,bus_closed,bus_open,branch,type_info
circuit_breaker_1,BusBar_mvgd_1003_lvgd_74753_MV,virtual_BusBar_mvgd_1003_lvgd_74753_MV,Branch_LVStation_mvgd_1003_lvgd_74753_MVCableDist_mvgd_1003_5,Switch Disconnector
circuit_breaker_2,BusBar_mvgd_1003_lvgd_78648_MV,virtual_BusBar_mvgd_1003_lvgd_78648_MV,Branch_LVStation_mvgd_1003_lvgd_78648_MVCableDist_mvgd_1003_11,Switch Disconnector
