name,x,y,mv_grid_id,lv_grid_id,v_nom,in_building
BranchTee_mvgd_2338_lvgd_461980_36,,,2338,461980,0.4,True
Bus_mvgd_2338_lvgd_461980_loa_18,,,2338,461980,0.4,False
BranchTee_mvgd_2338_lvgd_461980_37,,,2338,461980,0.4,False
BranchTee_mvgd_2338_lvgd_461980_38,,,2338,461980,0.4,True
Bus_mvgd_2338_lvgd_461980_loa_19,,,2338,461980,0.4,False
BranchTee_mvgd_2338_lvgd_461980_39,,,2338,461980,0.4,False
BranchTee_mvgd_2338_lvgd_461980_40,,,2338,461980,0.4,True
Bus_mvgd_2338_lvgd_461980_loa_20,,,2338,461980,0.4,False
BranchTee_mvgd_2338_lvgd_461980_41,,,2338,461980,0.4,False
BranchTee_mvgd_2338_lvgd_461980_42,,,2338,461980,0.4,True
Bus_mvgd_2338_lvgd_461980_loa_21,,,2338,461980,0.4,False
BusBar_mvgd_2338_lvgd_461258_LV,12.475576079817353,50.74834244842257,2338,461258,0.4,False
BranchTee_mvgd_2338_lvgd_461258_1,,,2338,461258,0.4,False
BranchTee_mvgd_2338_lvgd_461258_2,,,2338,461258,0.4,True
Bus_mvgd_2338_lvgd_461258_loa_1,,,2338,461258,0.4,False
BusBar_mvgd_2338_lvgd_177066_LV,12.4543593191422,50.747726491773676,2338,177066,0.4,False
BranchTee_mvgd_2338_lvgd_177066_1,,,2338,177066,0.4,False
BranchTee_mvgd_2338_lvgd_177066_2,,,2338,177066,0.4,True
Bus_mvgd_2338_lvgd_177066_loa_1,,,2338,177066,0.4,False
BranchTee_mvgd_2338_lvgd_177066_3,,,2338,177066,0.4,False
BranchTee_mvgd_2338_lvgd_177066_4,,,2338,177066,0.4,True
Bus_mvgd_2338_lvgd_177066_loa_2,,,2338,177066,0.4,False
BranchTee_mvgd_2338_lvgd_177066_5,,,2338,177066,0.4,False
BranchTee_mvgd_2338_lvgd_177066_6,,,2338,177066,0.4,True
Bus_mvgd_2338_lvgd_177066_loa_3,,,2338,177066,0.4,False
