name,bus0,bus1,length,r,x,s_nom,num_parallel,kind,type_info
Branch_LVCableDist_mvgd_2338_lvgd_461980_1_LVCableDist_mvgd_2338_lvgd_461980_2,BranchTee_mvgd_2338_lvgd_461980_1,BranchTee_mvgd_2338_lvgd_461980_2,0.018,0.008081999999999999,0.0015268140296446396,0.09976612651596732,1,cable,NAYY 4x1x50
Branch_LVCableDist_mvgd_2338_lvgd_461980_1_LVCableDist_mvgd_2338_lvgd_461980_3,BranchTee_mvgd_2338_lvgd_461980_1,BranchTee_mvgd_2338_lvgd_461980_3,0.052,0.010712,0.004182088140458733,0.1905255888325765,1,cable,NAYY 4x1x150
Branch_LVCableDist_mvgd_2338_lvgd_461980_1_LVStation_mvgd_2338_lvgd_461980,BusBar_mvgd_2338_lvgd_461980_LV,BranchTee_mvgd_2338_lvgd_461980_1,0.052,0.010712,0.004182088140458733,0.1905255888325765,1,cable,NAYY 4x1x150
Branch_LVCableDist_mvgd_2338_lvgd_461980_20_Load_mvgd_2338_lvgd_461980_10,BranchTee_mvgd_2338_lvgd_461980_20,Bus_mvgd_2338_lvgd_461980_loa_10,0.001,0.000449,8.482300164692443e-05,0.09976612651596732,1,cable,NAYY 4x1x50
Branch_LVCableDist_mvgd_2338_lvgd_461980_21_LVCableDist_mvgd_2338_lvgd_461980_22,BranchTee_mvgd_2338_lvgd_461980_21,BranchTee_mvgd_2338_lvgd_461980_22,0.018,0.008081999999999999,0.0015268140296446396,0.09976612651596732,1,cable,NAYY 4x1x50
Branch_LVCableDist_mvgd_2338_lvgd_461980_21_LVCableDist_mvgd_2338_lvgd_461980_23,BranchTee_mvgd_2338_lvgd_461980_21,BranchTee_mvgd_2338_lvgd_461980_23,0.05,0.0103,0.004021238596594936,0.1905255888325765,1,cable,NAYY 4x1x150
Branch_LVCableDist_mvgd_2338_lvgd_461980_21_LVStation_mvgd_2338_lvgd_461980,BusBar_mvgd_2338_lvgd_461980_LV,BranchTee_mvgd_2338_lvgd_461980_21,0.05,0.0103,0.004021238596594936,0.1905255888325765,1,cable,NAYY 4x1x150
Branch_LVCableDist_mvgd_2338_lvgd_461980_22_Load_mvgd_2338_lvgd_461980_11,BranchTee_mvgd_2338_lvgd_461980_22,Bus_mvgd_2338_lvgd_461980_loa_11,0.001,0.000449,8.482300164692443e-05,0.09976612651596732,1,cable,NAYY 4x1x50
Branch_LVCableDist_mvgd_2338_lvgd_461980_23_LVCableDist_mvgd_2338_lvgd_461980_24,BranchTee_mvgd_2338_lvgd_461980_23,BranchTee_mvgd_2338_lvgd_461980_24,0.033,0.014817,0.002799159054348506,0.09976612651596732,1,cable,NAYY 4x1x50
Branch_LVCableDist_mvgd_2338_lvgd_461980_23_LVCableDist_mvgd_2338_lvgd_461980_25,BranchTee_mvgd_2338_lvgd_461980_23,BranchTee_mvgd_2338_lvgd_461980_25,0.05,0.0103,0.004021238596594936,0.1905255888325765,1,cable,NAYY 4x1x150
