name,bus0,bus1,s_nom,r,x,type,type_info
Transformer_lv_grid_299229_1,BusBar_mvgd_3150_lvgd_299229_MV,BusBar_mvgd_3150_lvgd_299229_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_300163_1,BusBar_mvgd_3150_lvgd_300163_MV,BusBar_mvgd_3150_lvgd_300163_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_300248_1,BusBar_mvgd_3150_lvgd_300248_MV,BusBar_mvgd_3150_lvgd_300248_LV,0.25,0.013,0.037828560638755476,,0.25 MVA 10/0.4 kV
Transformer_lv_grid_429075_1,BusBar_mvgd_3150_lvgd_429075_MV,BusBar_mvgd_3150_lvgd_429075_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_429470_1,BusBar_mvgd_3150_lvgd_429470_MV,BusBar_mvgd_3150_lvgd_429470_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_300266_1,BusBar_mvgd_3150_lvgd_300266_MV,BusBar_mvgd_3150_lvgd_300266_LV,0.16,0.0146875,0.037205877811845804,,0.16 MVA 10/0.4 kV
Transformer_lv_grid_429337_1,BusBar_mvgd_3150_lvgd_429337_MV,BusBar_mvgd_3150_lvgd_429337_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_427880_1,BusBar_mvgd_3150_lvgd_427880_MV,BusBar_mvgd_3150_lvgd_427880_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_428291_1,BusBar_mvgd_3150_lvgd_428291_MV,BusBar_mvgd_3150_lvgd_428291_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_430024_1,BusBar_mvgd_3150_lvgd_430024_MV,BusBar_mvgd_3150_lvgd_430024_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_428520_1,BusBar_mvgd_3150_lvgd_428520_MV,BusBar_mvgd_3150_lvgd_428520_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_429915_1,BusBar_mvgd_3150_lvgd_429915_MV,BusBar_mvgd_3150_lvgd_429915_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_429934_1,BusBar_mvgd_3150_lvgd_429934_MV,BusBar_mvgd_3150_lvgd_429934_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_427666_1,BusBar_mvgd_3150_lvgd_427666_MV,BusBar_mvgd_3150_lvgd_427666_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_300330_1,BusBar_mvgd_3150_lvgd_300330_MV,BusBar_mvgd_3150_lvgd_300330_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
