name,bus_closed,bus_open,branch,type_info
circuit_breaker_1,BusBar_mvgd_3150_lvgd_300785_MV,virtual_BusBar_mvgd_3150_lvgd_300785_MV,Branch_LVStation_mvgd_3150_lvgd_300785_MVCableDist_mvgd_3150_74,Switch Disconnector
circuit_breaker_2,BusBar_mvgd_3150_lvgd_301861_MV,virtual_BusBar_mvgd_3150_lvgd_301861_MV,Branch_LVStation_mvgd_3150_lvgd_301861_MVCableDist_mvgd_3150_87,Switch Disconnector
circuit_breaker_3,BusBar_mvgd_3150_lvgd_300382_MV,virtual_BusBar_mvgd_3150_lvgd_300382_MV,Branch_LVStation_mvgd_3150_lvgd_300382_MVCableDist_mvgd_3150_21,Switch Disconnector
