name,bus0,bus1,s_nom,r,x,type,type_info
Transformer_lv_load_area_37290_1,Busbar_mvgd_83_MV,BusBar_lac_37290,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_37290_2,Busbar_mvgd_83_MV,BusBar_lac_37290,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_37290_3,Busbar_mvgd_83_MV,BusBar_lac_37290,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_37290_4,Busbar_mvgd_83_MV,BusBar_lac_37290,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_37290_5,Busbar_mvgd_83_MV,BusBar_lac_37290,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_37290_6,Busbar_mvgd_83_MV,BusBar_lac_37290,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_37290_7,Busbar_mvgd_83_MV,BusBar_lac_37290,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_37290_8,Busbar_mvgd_83_MV,BusBar_lac_37290,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_37290_9,Busbar_mvgd_83_MV,BusBar_lac_37290,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_37290_10,Busbar_mvgd_83_MV,BusBar_lac_37290,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_37290_11,Busbar_mvgd_83_MV,BusBar_lac_37290,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_37290_12,Busbar_mvgd_83_MV,BusBar_lac_37290,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_37290_13,Busbar_mvgd_83_MV,BusBar_lac_37290,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_37290_14,Busbar_mvgd_83_MV,BusBar_lac_37290,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_1,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_2,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_3,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_4,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_5,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_6,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_7,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_8,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_9,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_10,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_11,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_12,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_13,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_14,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_15,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_16,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_17,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_18,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_19,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_20,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_21,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_22,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_23,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_24,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_25,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_26,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_27,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_28,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_29,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_30,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_31,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_32,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_33,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
Transformer_lv_load_area_109256_34,Busbar_mvgd_83_MV,BusBar_lac_109256,1.0,0.0105,0.059074106002545645,,1.0 MVA 10/0.4 kV
