name,bus_closed,bus_open,branch,type_info
circuit_breaker_1,BusBar_mvgd_83_lvgd_45770_MV,virtual_BusBar_mvgd_83_lvgd_45770_MV,Branch_LVStation_mvgd_83_lvgd_45770_MVCableDist_mvgd_83_1,Switch Disconnector
circuit_breaker_2,BusBar_mvgd_83_lvgd_412689_MV,virtual_BusBar_mvgd_83_lvgd_412689_MV,Branch_LVStation_mvgd_83_lvgd_412358_LVStation_mvgd_83_lvgd_412689,Switch Disconnector
