name,bus_closed,bus_open,branch,type_info
circuit_breaker_1,BusBar_mvgd_2915_lvgd_139089_MV,virtual_BusBar_mvgd_2915_lvgd_139089_MV,Branch_LVStation_mvgd_2915_lvgd_139089_MVCableDist_mvgd_2915_15,Switch Disconnector
circuit_breaker_2,BusBar_mvgd_2915_lvgd_120874_MV,virtual_BusBar_mvgd_2915_lvgd_120874_MV,Branch_LVStation_mvgd_2915_lvgd_120874_MVCableDist_mvgd_2915_29,Switch Disconnector
circuit_breaker_3,BusBar_mvgd_2915_lvgd_125330_MV,virtual_BusBar_mvgd_2915_lvgd_125330_MV,Branch_LVStation_mvgd_2915_lvgd_125330_MVCableDist_mvgd_2915_3,Switch Disconnector
circuit_breaker_4,BusBar_mvgd_2915_lvgd_121699_MV,virtual_BusBar_mvgd_2915_lvgd_121699_MV,Branch_LVStation_mvgd_2915_lvgd_121699_MVCableDist_mvgd_2915_1,Switch Disconnector
circuit_breaker_5,BusBar_mvgd_2915_lvgd_139303_MV,virtual_BusBar_mvgd_2915_lvgd_139303_MV,Branch_LVStation_mvgd_2915_lvgd_139303_MVCableDist_mvgd_2915_48,Switch Disconnector
