name,bus0,bus1,s_nom,r,x,type,type_info
Transformer_lv_grid_369536_1,BusBar_mvgd_2915_lvgd_369536_MV,BusBar_mvgd_2915_lvgd_369536_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_369489_1,BusBar_mvgd_2915_lvgd_369489_MV,BusBar_mvgd_2915_lvgd_369489_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_120404_1,BusBar_mvgd_2915_lvgd_120404_MV,BusBar_mvgd_2915_lvgd_120404_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_120405_1,BusBar_mvgd_2915_lvgd_120405_MV,BusBar_mvgd_2915_lvgd_120405_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_120406_1,BusBar_mvgd_2915_lvgd_120406_MV,BusBar_mvgd_2915_lvgd_120406_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_120407_1,BusBar_mvgd_2915_lvgd_120407_MV,BusBar_mvgd_2915_lvgd_120407_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_120408_1,BusBar_mvgd_2915_lvgd_120408_MV,BusBar_mvgd_2915_lvgd_120408_LV,0.16,0.0146875,0.037205877811845804,,0.16 MVA 10/0.4 kV
Transformer_lv_grid_120409_1,BusBar_mvgd_2915_lvgd_120409_MV,BusBar_mvgd_2915_lvgd_120409_LV,0.16,0.0146875,0.037205877811845804,,0.16 MVA 10/0.4 kV
Transformer_lv_grid_120410_1,BusBar_mvgd_2915_lvgd_120410_MV,BusBar_mvgd_2915_lvgd_120410_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_492102_1,BusBar_mvgd_2915_lvgd_492102_MV,BusBar_mvgd_2915_lvgd_492102_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_492103_1,BusBar_mvgd_2915_lvgd_492103_MV,BusBar_mvgd_2915_lvgd_492103_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_492104_1,BusBar_mvgd_2915_lvgd_492104_MV,BusBar_mvgd_2915_lvgd_492104_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_370388_1,BusBar_mvgd_2915_lvgd_370388_MV,BusBar_mvgd_2915_lvgd_370388_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 10/0.4 kV
Transformer_lv_grid_120559_1,BusBar_mvgd_2915_lvgd_120559_MV,BusBar_mvgd_2915_lvgd_120559_LV,0.16,0.0146875,0.037205877811845804,,0.16 MVA 10/0.4 kV
